Group,Otu01,Otu02,Otu03,Otu04,Otu05,Otu06,Otu07,Otu08,Otu09,Otu10,Otu11,Otu12,Otu13,Otu14,Otu15,Otu16,Otu17,Otu18,Otu19,Otu20
R11.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R11.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R12.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R13.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R15.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R15.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R16.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R18.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R18.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R18.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R19.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R6.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S10.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S14.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S17.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S17.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S17.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S18.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S19.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S3.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S9.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S5.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
